timestamp,true_x,true_y,true_z,estimated_x,estimated_y,estimated_z,true_vx,true_vy,true_vz,estimated_vx,estimated_vy,estimated_vz,position_error,velocity_error,P_x,P_y,P_z,innovation_flow_x,innovation_flow_y,innovation_lidar,innovation_baro,innovation_camera_x,innovation_camera_y,NIS_flow,NIS_lidar,NIS_baro,NIS_camera,flow_accepted,lidar_accepted,baro_accepted,camera_accepted,camera_available
8.92,3.5049655899231045,0.20929019057771414,2.3947739037141864,3.51171721337797,0.25941741665801366,2.411707154772406,0.8697350372726301,0.06686180697669188,0.03644498974493985,0.889123797116399,0.1127230874353696,0.07566699567346963,0.05057986964971093,0.06338412106077093,0.0012064326903374117,0.0019492558822712671,0.00012714319229421354,0.03958928822418695,-0.05173974191691035,0.01668376535405791,-0.3701012791564815,-0.22396826321527996,0.012653498675496089,1.7023416574939398,0.2733612239930113,1.1170726192683569,3.213164820526378,True,True,True,True,True
8.94,3.5223778999824105,0.21062784496873171,2.3955016685515544,3.5288107105024715,0.261923583495848,2.407376124540642,0.8714952221183738,0.06690335701257619,0.036331473553523126,0.8813211078371712,0.11918428052004965,0.06271924597133301,0.051697522592763466,0.05938145776357537,0.001227774628493225,0.0020065489102531415,0.00011178288798370802,-0.03698333537461962,0.02946713778840936,-0.015699727412816777,-0.3701012791564815,-0.22396826321527996,0.012653498675496089,0.9051312266624749,0.2404706661484352,1.1170726192683569,3.213164820526378,True,True,True,True,True
8.96,3.5398253688339953,0.21196631381234707,2.3962271618357223,3.5422639793662527,0.24502216957783657,2.4111722894158856,0.8732509165005579,0.06694325223646608,0.03621783442496072,0.8843736887180972,0.11094319932336098,0.0686790761427799,0.03314568481291165,0.05579824028869998,0.0011497679769913655,0.0018064751987168877,0.00012816011452562097,-0.03698333537461962,0.02946713778840936,0.02040098668696455,0.051876581512345865,-0.06409953975521887,-0.15693702055105346,0.9051312266624749,0.40757023302981576,0.021949372120368058,1.766743050839708,True,True,True,True,True
8.98,3.5573079066685875,0.21330556401232026,2.396950381107947,3.5599008243807586,0.24606270114053183,2.4128678185446475,0.875002120419182,0.06698149264836145,0.03610407235925242,0.8847115642072984,0.0958282656883375,0.06943809029608286,0.03285959913173847,0.045139410334068535,0.0011710766091535302,0.001860865956342108,0.00012836885065544413,-0.008309920006284499,-0.05238357003140032,0.015409144988701495,0.051876581512345865,-0.06409953975521887,-0.15693702055105346,1.0780634689972124,0.23247409428273264,0.021949372120368058,1.766743050839708,True,True,True,True,True
9.0,3.574825423676918,0.21464556247241143,2.397671323909486,3.5772103785233633,0.2464155799291883,2.411757038080206,0.8767488338742451,0.06701807824826236,0.03599018735639703,0.8811806914440237,0.07446000146307442,0.06333093305307883,0.03185941020834331,0.028679957425083228,0.0011914602565707845,0.0019150105541862862,0.00011228970599908438,-0.016119253503053654,-0.009407069093261802,-0.02623508204799485,0.051876581512345865,-0.06409953975521887,-0.15693702055105346,0.14117827061776717,0.6698645782488118,0.021949372120368058,1.766743050839708,True,True,True,True,True
9.02,3.5923778300497142,0.21598627609638069,2.398389987781596,3.594797144298184,0.24789297742327013,2.4036187839468637,0.8784910568657468,0.0670530090361688,0.03587617941639517,0.8819178505019939,0.0738844665443843,0.04334054495779475,0.031998291688716395,0.010683093149814377,0.0012135218707021286,0.0019722081104526215,0.00011362914831617146,-0.016119253503053654,-0.009407069093261802,-0.06136715027078132,-0.4097315428398902,-0.06409953975521887,-0.15693702055105346,0.14117827061776717,3.683234948645022,1.3692228210651234,1.766743050839708,True,True,True,True,True
9.040000000000001,3.609965035977705,0.2173276717879881,2.3991063702655357,3.6131114199063696,0.2497564381654484,2.410521400541211,0.8802287893936879,0.0670862850120807,0.035762048539247616,0.8918002925599019,0.08008746469176739,0.05763411641559861,0.03258104695356579,0.02795206095759138,0.0012346434456977514,0.002029061209603208,0.00011224886456879325,0.02831182764831708,0.022043741219768404,0.026435734520960263,-0.4097315428398902,-0.06409953975521887,-0.15693702055105346,0.5022791456344411,0.6822137490550239,1.3692228210651234,1.766743050839708,True,True,True,True,True
9.06,3.627586951651618,0.21866971645099378,2.3998204689025613,3.629194614926755,0.25124908357451126,2.4036245160807383,0.8819620314580684,0.06711790617599818,0.03564779472495268,0.8725852070906475,0.07786461960293821,0.03948641806875161,0.032619008926930246,0.014769959846722339,0.0012550085121549209,0.002086217875170652,0.00011136363149010746,-0.035671079304254616,-0.04086887194217788,-0.05158541422852192,0.0743973691844868,-0.06409953975521887,-0.15693702055105346,1.2048625910801176,2.60739576915524,0.0451400020001318,1.766743050839708,True,True,True,True,True
9.08,3.645243487262183,0.22001237698915785,2.400532281233928,3.6469865422357715,0.25313997907087404,2.4138977358391385,0.883690783058889,0.06714787252792115,0.03553341797350965,0.8778944450154023,0.08166191699857249,0.060566970013337836,0.033173427021118564,0.02951158669643506,0.001276197060849037,0.0021447531014196835,0.00011219936001275396,0.016352196002577313,0.013318829018143807,-0.004291157915856658,-0.23818415839940998,-0.06409953975521887,-0.15693702055105346,0.17921918790860902,0.01793687690861632,0.4626892045066879,1.766743050839708,True,True,True,True,True
9.1,3.662934553000128,0.22135562030624048,2.401241804800894,3.6853544009184485,0.22971963526280412,2.411141318596055,0.88541504419615,0.06717618406784963,0.03541891828492085,0.881506693780624,0.0674202024351781,0.05169107530363925,0.0239291940289314,0.01673672136279871,0.0011929107769690017,0.0019197138697071737,0.00011143864311715273,0.016352196002577313,0.013318829018143807,-0.029108210572780457,-0.23818415839940998,0.2413381436891302,-0.1795697120476789,0.17921918790860902,0.8264881253356001,0.4626892045066879,5.625747894449162,True,True,True,True,True
